0.5	0.05	7.85709E-01	7.33091E-01	7.37434E-01	7.10378E-01	9.14583E-01	9.86587E-01	7.87674E-01	7.87674E-01	7.75764E-01
0.5	0.10	8.22998E-01	7.38313E-01	7.45963E-01	7.08397E-01	1.09728E+00	1.19984E+00	8.57245E-01	8.57245E-01	8.87077E-01
0.5	0.15	8.37585E-01	7.49591E-01	7.47624E-01	7.05582E-01	1.20730E+00	1.33028E+00	8.66277E-01	8.66277E-01	8.99369E-01
0.5	0.20	8.36209E-01	7.60399E-01	7.30843E-01	6.91514E-01	1.28363E+00	1.42093E+00	8.39315E-01	8.39315E-01	8.60214E-01
0.5	0.25	8.15892E-01	7.63490E-01	6.94199E-01	6.64469E-01	1.31521E+00	1.46443E+00	7.95579E-01	7.95579E-01	8.00146E-01
0.5	0.30	7.75043E-01	7.53276E-01	6.41284E-01	6.27037E-01	1.29720E+00	1.44547E+00	7.46162E-01	7.46162E-01	7.34701E-01
0.5	0.35	7.15396E-01	7.26898E-01	5.79957E-01	5.85740E-01	1.23476E+00	1.36926E+00	6.97428E-01	6.97428E-01	6.71555E-01
0.5	0.40	6.40371E-01	6.84140E-01	5.16387E-01	5.45352E-01	1.14030E+00	1.25300E+00	6.51984E-01	6.51984E-01	6.13394E-01
0.5	0.45	5.54546E-01	6.24306E-01	4.55643E-01	5.10682E-01	1.02337E+00	1.11138E+00	6.11160E-01	6.11160E-01	5.61244E-01
0.5	0.50	4.62722E-01	5.48575E-01	4.00028E-01	4.83429E-01	8.51554E-01	9.14496E-01	5.74608E-01	5.74608E-01	5.14537E-01
0.5	0.55	3.70434E-01	4.61670E-01	3.50501E-01	4.65400E-01	6.81670E-01	7.41003E-01	5.41658E-01	5.41658E-01	4.72634E-01
0.5	0.60	2.82588E-01	3.68633E-01	3.07136E-01	4.57203E-01	6.16057E-01	6.60107E-01	5.13328E-01	5.13328E-01	4.36749E-01
0.5	0.65	2.03623E-01	2.76862E-01	2.69598E-01	4.59752E-01	6.13403E-01	5.87521E-01	4.88101E-01	4.88101E-01	4.06536E-01
0.5	0.70	1.36715E-01	1.93600E-01	2.37303E-01	4.71098E-01	6.30569E-01	6.22978E-01	4.65556E-01	4.65556E-01	3.83890E-01
0.5	0.75	8.37079E-02	1.24025E-01	2.09635E-01	5.03458E-01	6.45593E-01	6.88257E-01	4.45412E-01	4.45412E-01	3.73353E-01
0.5	0.80	4.51097E-02	7.16099E-02	1.85840E-01	5.49454E-01	6.28541E-01	6.22095E-01	4.27850E-01	4.27850E-01	3.58632E-01
0.5	0.85	2.00017E-02	3.63520E-02	1.65325E-01	6.23795E-01	6.93774E-01	6.47380E-01	4.12102E-01	4.12102E-01	3.45431E-01
0.5	0.90	6.28438E-03	1.54287E-02	1.47687E-01	7.76344E-01	5.65989E-01	5.79657E-01	3.97890E-01	3.97890E-01	3.33519E-01
0.5	0.95	8.78315E-04	4.38712E-03	1.32567E-01	1.34293E+00	5.00358E-01	6.42993E-01	3.85032E-01	3.85032E-01	3.22741E-01
1	0.05	1.16635E+00	1.13308E+00	1.13644E+00	1.11549E+00	1.26462E+00	1.31036E+00	1.00287E+00	1.00287E+00	9.87702E-01
